# from Solid State Communications, Vol. 29, pp. 197200.
# by W. Kress, W. Reichardt, V. Wagner, G. Kugel &
# B. Hennion, Proc. mt. Conf on Lattice Dynamics,
#(Edited by M. Balkanski), p. 77. Paris Sept. 5-9 (1977).
#
# 001
0 16.6
0 7.86
.2 16.1
.2 8.15
.4 15.2
.4 8.7
.4 5.2
.6 14.1
.6 9.42
.6 6.65
.6 4.00
.8 12.75 
.8 10.0
.8 6.75
.8 4.42
1. 12.65
1. 10.16
1. 7.00
1. 4.50


#110
0 16.6
0 7.86
.2 16.0
.2 8.25
.3 5.80
.4 14.7
.4 9.6
.4 7.15
.4 4.22
.5 13.8
.6 12.8
.6 11.1
.6 8.0
.6 5.70
.8 10.9
.8 12.25
.8 5.8
.8 6.7
.9 4.7
.9 6.80


#111
0 16.6
0 7.86
.1 16.5
.1 7.75
.2 16.3
.2 5.18
.3 15.8
.3 7.9
.3 7.15
.3 3.60
.4 15.6
.4 7.9
.4 8.32
.4 4.40
.5 15.4
.5 7.9
.5 4.23


#Haywood B C G and Collins M F 1971 J. Phys. C: Solid State
#Phys. 4 1299
#100
0.0983607       0.885496
0.200364        1.61603
0.298725        2.28015
0.400729        2.98855
0.500911        3.4313
0.599271        3.7855
0.697632        4.00687
0.801457        4.29466
0.899818        4.80382
0.899818        4.31679
1.00364 4.82595
1.00182 4.02901
1       8.74427
0.905282        8.78855
0.799636        8.10229
0.701275        7.43817
0.59745 6.81832
0.500911        5.99924
0.398907        5.37939
0.295082        4.47176
0.200364        3.09924
0.100182        1.59389
0.00182149     7.8145
0.102004        8.01374
0.302368        8.25725
0.400729        8.23511
0.502732        8.27939
0.602914        8.94351
0.704918        9.74046
0.801457        10.1611
0.901639        10.1832
1.00364 10.2496
0.10929 13.3931
0.00364299      14.6992


#110
0.201818        1.55675
0.3     2.51304
0.401818        3.15798
0.496364        3.93635
0.6     4.2477
0.701818        4.47009
0.798182        4.82592
0.898182        4.8704
0.998182        4.89264
1       4.06979
0.9     4.49233
0.798182        5.67101
0.598182        8.07285
0.501818        8.18405
0.4     7.45015
0.301818        5.73773
0.203636        3.84739
0.101818        7.82822
0.4     9.91871
0.601818        8.89571
0.798182        8.53988
0.998182        8.87347
0.998182        10.3635
0.196364        12.1649
0.00181818      14.6112


#111
0.183824        1.32824
0.297794        1.94809
0.389706        2.83359
0.5     3.16565
0.595588        3.56412
0.801471        4.38321
0.911765        4.42748
1.00735 4.20611
1.00368 6.57481
0.805147        7.12824
0.713235        6.84046
0.602941        6.97328
0.496324        6.10992
0.404412        5.18015
0.294118        3.71908
0.191176        2.5458
1.01103 9.36412
0.805147        8.32366
0.602941        8.30153
0.404412        9.0542
0.297794        8.81069
0.702206        12.9504
0.00367647      14.6107


#Chung E M L, Paul D McK, Balakrishnan G, Lees M R,
#Ivanov A and Yethiraj M 2003 Phys. Rev. B 68 140406(R)
#001
0.00146942	7.93279
0.104026	7.89469
0.202763	7.99866
0.302802	8.20908
0.402884	8.65021
0.501683	9.09137
0.501795	9.69476
0.400431	9.25367
0.301642	8.86574
0.201613	8.70856
0.102876	8.60459
0.00159762	8.62491


#111
0	7.84309
0.198454	7.77521
0.396907	7.76008
0.595361	7.83289
0.798969	7.90575
1	8.15444
0.997423	8.40061
0.796392	8.45087
0.597938	8.55392
0.396907	8.63935
0.195876	8.63686
0	8.56409

