0.0000000000 9.2972985000 0.0000000000
-9.2972985000 0.0000000000 0.0000000000
0.0000000000 0.0000000000 9.2972985000
  -9.297299    9.297299    9.297299
   9.297299   -9.297299    9.297299
   9.297299    9.297299   -9.297299
176 4
Direct
   0.17864967  0.05924631  0.17761949	O
   0.67864967  0.55924631  0.17761949	O
   0.67864967  0.05924631  0.67761949	O
   0.17864967  0.55924631  0.67761949	O
   0.63162683  0.50103019  0.57238051	O
   0.13162683  0.00103019  0.57238051	O
   0.13162683  0.50103019  0.07238051	O
   0.63162683  0.00103019  0.07238051	O
   0.61837317  0.69075369  0.86940336	O
   0.11837317  0.19075369  0.86940336	O
   0.11837317  0.69075369  0.36940336	O
   0.61837317  0.19075369  0.36940336	O
   0.57135033  0.74896981  0.38059664	O
   0.07135033  0.24896981  0.38059664	O
   0.07135033  0.74896981  0.88059664	O
   0.57135033  0.24896981  0.88059664	O
   0.17761949  0.17864967  0.05924631	O
   0.67761949  0.67864967  0.05924631	O
   0.67761949  0.17864967  0.55924631	O
   0.17761949  0.67864967  0.55924631	O
   0.57238051  0.63162683  0.50103019	O
   0.07238051  0.13162683  0.50103019	O
   0.07238051  0.63162683  0.00103019	O
   0.57238051  0.13162683  0.00103019	O
   0.86940336  0.61837317  0.69075369	O
   0.36940336  0.11837317  0.69075369	O
   0.36940336  0.61837317  0.19075369	O
   0.86940336  0.11837317  0.19075369	O
   0.38059664  0.57135033  0.74896981	O
   0.88059664  0.07135033  0.74896981	O
   0.88059664  0.57135033  0.24896981	O
   0.38059664  0.07135033  0.24896981	O
   0.05924631  0.17761949  0.17864967	O
   0.55924631  0.67761949  0.17864967	O
   0.55924631  0.17761949  0.67864967	O
   0.05924631  0.67761949  0.67864967	O
   0.50103019  0.57238051  0.63162683	O
   0.00103019  0.07238051  0.63162683	O
   0.00103019  0.57238051  0.13162683	O
   0.50103019  0.07238051  0.13162683	O
   0.69075369  0.86940336  0.61837317	O
   0.19075369  0.36940336  0.61837317	O
   0.19075369  0.86940336  0.11837317	O
   0.69075369  0.36940336  0.11837317	O
   0.74896981  0.38059664  0.57135033	O
   0.24896981  0.88059664  0.57135033	O
   0.24896981  0.38059664  0.07135033	O
   0.74896981  0.88059664  0.07135033	O
   0.39106358  0.30788266  0.13514145	O
   0.89106358  0.80788266  0.13514145	O
   0.89106358  0.30788266  0.63514145	O
   0.39106358  0.80788266  0.63514145	O
   0.42274121  0.25592214  0.61485855	O
   0.92274121  0.75592214  0.61485855	O
   0.92274121  0.25592214  0.11485855	O
   0.42274121  0.75592214  0.11485855	O
   0.82725879  0.94211734  0.83318093	O
   0.32725879  0.44211734  0.83318093	O
   0.32725879  0.94211734  0.33318093	O
   0.82725879  0.44211734  0.33318093	O
   0.35893642  0.49407786  0.41681907	O
   0.85893642  0.99407786  0.41681907	O
   0.85893642  0.49407786  0.91681907	O
   0.35893642  0.99407786  0.91681907	O
   0.13514145  0.39106358  0.30788266	O
   0.63514145  0.89106358  0.30788266	O
   0.63514145  0.39106358  0.80788266	O
   0.13514145  0.89106358  0.80788266	O
   0.61485855  0.42274121  0.25592214	O
   0.11485855  0.92274121  0.25592214	O
   0.11485855  0.42274121  0.75592214	O
   0.61485855  0.92274121  0.75592214	O
   0.83318093  0.82725879  0.94211734	O
   0.33318093  0.32725879  0.94211734	O
   0.33318093  0.82725879  0.44211734	O
   0.83318093  0.32725879  0.44211734	O
   0.41681907  0.35893642  0.49407786	O
   0.91681907  0.85893642  0.49407786	O
   0.91681907  0.35893642  0.99407786	O
   0.41681907  0.85893642  0.99407786	O
   0.30788266  0.13514145  0.39106358	O
   0.80788266  0.63514145  0.39106358	O
   0.80788266  0.13514145  0.89106358	O
   0.30788266  0.63514145  0.89106358	O
   0.25592214  0.61485855  0.42274121	O
   0.75592214  0.11485855  0.42274121	O
   0.75592214  0.61485855  0.92274121	O
   0.25592214  0.11485855  0.92274121	O
   0.94211734  0.83318093  0.82725879	O
   0.44211734  0.33318093  0.82725879	O
   0.44211734  0.83318093  0.32725879	O
   0.94211734  0.33318093  0.32725879	O
   0.49407786  0.41681907  0.35893642	O
   0.99407786  0.91681907  0.35893642	O
   0.99407786  0.41681907  0.85893642	O
   0.49407786  0.91681907  0.85893642	O
   0.01217687  0.01217687  0.01217687	O
   0.51217687  0.51217687  0.01217687	O
   0.51217687  0.01217687  0.51217687	O
   0.01217687  0.51217687  0.51217687	O
   0.75000000  0.50000000  0.73782313	O
   0.25000000  0.00000000  0.73782313	O
   0.25000000  0.50000000  0.23782313	O
   0.75000000  0.00000000  0.23782313	O
   0.50000000  0.73782313  0.75000000	O
   0.00000000  0.23782313  0.75000000	O
   0.00000000  0.73782313  0.25000000	O
   0.50000000  0.23782313  0.25000000	O
   0.73782313  0.75000000  0.50000000	O
   0.23782313  0.25000000  0.50000000	O
   0.23782313  0.75000000  0.00000000	O
   0.73782313  0.25000000  0.00000000	O
   0.26317872  0.26317872  0.26317872	O
   0.76317872  0.76317872  0.26317872	O
   0.76317872  0.26317872  0.76317872	O
   0.26317872  0.76317872  0.76317872	O
   0.75000000  0.50000000  0.48682128	O
   0.25000000  0.00000000  0.48682128	O
   0.25000000  0.50000000  0.98682128	O
   0.75000000  0.00000000  0.98682128	O
   0.50000000  0.48682128  0.75000000	O
   0.00000000  0.98682128  0.75000000	O
   0.00000000  0.48682128  0.25000000	O
   0.50000000  0.98682128  0.25000000	O
   0.48682128  0.75000000  0.50000000	O
   0.98682128  0.25000000  0.50000000	O
   0.98682128  0.75000000  0.00000000	O
   0.48682128  0.25000000  0.00000000	O
   0.15660553  0.15660553  0.15660553	W
   0.65660553  0.65660553  0.15660553	W
   0.65660553  0.15660553  0.65660553	W
   0.15660553  0.65660553  0.65660553	W
   0.75000000  0.50000000  0.59339447	W
   0.25000000  0.00000000  0.59339447	W
   0.25000000  0.50000000  0.09339447	W
   0.75000000  0.00000000  0.09339447	W
   0.50000000  0.59339447  0.75000000	W
   0.00000000  0.09339447  0.75000000	W
   0.00000000  0.59339447  0.25000000	W
   0.50000000  0.09339447  0.25000000	W
   0.59339447  0.75000000  0.50000000	W
   0.09339447  0.25000000  0.50000000	W
   0.09339447  0.75000000  0.00000000	W
   0.59339447  0.25000000  0.00000000	W
   0.90351127  0.90351127  0.90351127	W
   0.40351127  0.40351127  0.90351127	W
   0.40351127  0.90351127  0.40351127	W
   0.90351127  0.40351127  0.40351127	W
   0.25000000  0.50000000  0.34648873	W
   0.75000000  0.00000000  0.34648873	W
   0.75000000  0.50000000  0.84648873	W
   0.25000000  0.00000000  0.84648873	W
   0.50000000  0.34648873  0.25000000	W
   0.00000000  0.84648873  0.25000000	W
   0.00000000  0.34648873  0.75000000	W
   0.50000000  0.84648873  0.75000000	W
   0.34648873  0.25000000  0.50000000	W
   0.84648873  0.75000000  0.50000000	W
   0.84648873  0.25000000  0.00000000	W
   0.34648873  0.75000000  0.00000000	W
   0.49705395  0.49705395  0.49705395	Zr
   0.99705395  0.99705395  0.49705395	Zr
   0.99705395  0.49705395  0.99705395	Zr
   0.49705395  0.99705395  0.99705395	Zr
   0.75000000  0.50000000  0.25294605	Zr
   0.25000000  0.00000000  0.25294605	Zr
   0.25000000  0.50000000  0.75294605	Zr
   0.75000000  0.00000000  0.75294605	Zr
   0.50000000  0.25294605  0.75000000	Zr
   0.00000000  0.75294605  0.75000000	Zr
   0.00000000  0.25294605  0.25000000	Zr
   0.50000000  0.75294605  0.25000000	Zr
   0.25294605  0.75000000  0.50000000	Zr
   0.75294605  0.25000000  0.50000000	Zr
   0.75294605  0.75000000  0.00000000	Zr
   0.25294605  0.25000000  0.00000000	Zr
